id,name,type,reason,team,fixture,league
50,Koke,Missing Fixture,Yellow Cards,Atletico Madrid,2022-04-02T19:00:00+00:00,La Liga
2923,Y. Carrasco,Missing Fixture,Red Card,Atletico Madrid,2022-04-05T19:00:00+00:00,UEFA Champions League
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-05T19:00:00+00:00,UEFA Champions League
382,H. Herrera,Missing Fixture,Thigh Injury,Atletico Madrid,2022-04-05T19:00:00+00:00,UEFA Champions League
53,A. Correa,Missing Fixture,Red Card,Atletico Madrid,2022-04-09T14:15:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-09T14:15:00+00:00,La Liga
382,H. Herrera,Missing Fixture,Thigh Injury,Atletico Madrid,2022-04-09T14:15:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-13T19:00:00+00:00,UEFA Champions League
382,H. Herrera,Missing Fixture,Thigh Injury,Atletico Madrid,2022-04-13T19:00:00+00:00,UEFA Champions League
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-17T14:15:00+00:00,La Liga
382,H. Herrera,Missing Fixture,Thigh Injury,Atletico Madrid,2022-04-17T14:15:00+00:00,La Liga
371,Felipe,Missing Fixture,Yellow Cards,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
31,J. Gimenez,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
382,H. Herrera,Missing Fixture,Thigh Injury,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
926,G. Kondogbia,Missing Fixture,Red Card,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-20T17:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-30T19:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-04-30T19:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Yellow Cards,Atletico Madrid,2022-04-30T19:00:00+00:00,La Liga
2669,M. Hermoso,Missing Fixture,Yellow Cards,Atletico Madrid,2022-05-08T19:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-08T19:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-08T19:00:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-11T19:30:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-11T19:30:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-15T17:30:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-15T17:30:00+00:00,La Liga
10122,R. Lodi,Missing Fixture,Yellow Cards,Atletico Madrid,2022-05-15T17:30:00+00:00,La Liga
199,S. Vrsaljko,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-15T17:30:00+00:00,La Liga
583,Joao Felix,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-22T20:00:00+00:00,La Liga
199,S. Vrsaljko,Missing Fixture,Muscle Injury,Atletico Madrid,2022-05-22T20:00:00+00:00,La Liga
