id,name,type,reason,team,fixture,league
371,Felipe,Missing Fixture,Injury,Atletico Madrid,2022-08-15T17:30:00+00:00,La Liga
31,J. M. Gimenez,Missing Fixture,Illness,Atletico Madrid,2022-08-15T17:30:00+00:00,La Liga
6503,N. Molina,Missing Fixture,Red Card,Atletico Madrid,2022-08-29T20:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Thigh Injury,Atletico Madrid,2022-08-29T20:00:00+00:00,La Liga
45,T. Lemar,Missing Fixture,Injury,Atletico Madrid,2022-09-03T16:30:00+00:00,La Liga
1165,Matheus Cunha,Missing Fixture,Injury,Atletico Madrid,2022-09-03T16:30:00+00:00,La Liga
6503,N. Molina,Missing Fixture,Red Card,Atletico Madrid,2022-09-03T16:30:00+00:00,La Liga
739,S. Reguilon,Missing Fixture,Injury,Atletico Madrid,2022-09-03T16:30:00+00:00,La Liga
39,S. Savic,Missing Fixture,Thigh Injury,Atletico Madrid,2022-09-03T16:30:00+00:00,La Liga
371,Felipe,Missing Fixture,Red Card,Atletico Madrid,2022-09-07T19:00:00+00:00,UEFA Champions League
739,S. Reguilon,Missing Fixture,Injury,Atletico Madrid,2022-09-07T19:00:00+00:00,UEFA Champions League
39,S. Savic,Missing Fixture,Thigh Injury,Atletico Madrid,2022-09-07T19:00:00+00:00,UEFA Champions League
1165,Matheus Cunha,Questionable,Muscle Injury,Atletico Madrid,2022-09-07T19:00:00+00:00,UEFA Champions League
31,J. M. Gimenez,Missing Fixture,Back Injury,Atletico Madrid,2022-09-10T19:00:00+00:00,La Liga
739,S. Reguilon,Missing Fixture,Injury,Atletico Madrid,2022-09-10T19:00:00+00:00,La Liga
39,S. Savic,Missing Fixture,Thigh Injury,Atletico Madrid,2022-09-10T19:00:00+00:00,La Liga
31,J. M. Gimenez,Missing Fixture,Back Injury,Atletico Madrid,2022-09-13T19:00:00+00:00,UEFA Champions League
45,T. Lemar,Missing Fixture,Muscle Injury,Atletico Madrid,2022-09-13T19:00:00+00:00,UEFA Champions League
739,S. Reguilon,Missing Fixture,Injury,Atletico Madrid,2022-09-13T19:00:00+00:00,UEFA Champions League
39,S. Savic,Missing Fixture,Thigh Injury,Atletico Madrid,2022-09-13T19:00:00+00:00,UEFA Champions League
