id,name,type,reason,team,fixture,league
38735,S. Dest,Missing Fixture,Inactive,Barcelona,2022-08-13T19:00:00+00:00,La Liga
1257,J. Kounde,Missing Fixture,Injury,Barcelona,2022-08-13T19:00:00+00:00,La Liga
144,S. Busquets,Missing Fixture,Red Card,Barcelona,2022-08-21T20:00:00+00:00,La Liga
38735,S. Dest,Missing Fixture,Inactive,Barcelona,2022-08-21T20:00:00+00:00,La Liga
1257,J. Kounde,Missing Fixture,Inactive,Barcelona,2022-08-21T20:00:00+00:00,La Liga
2282,A. Christensen,Missing Fixture,Illness,Barcelona,2022-08-28T17:30:00+00:00,La Liga
2278,M. Alonso,Missing Fixture,Coach's decision,Barcelona,2022-09-07T19:00:00+00:00,UEFA Champions League
1439,H. Bellerin,Missing Fixture,Coach's decision,Barcelona,2022-09-07T19:00:00+00:00,UEFA Champions League
137,S. Roberto,Missing Fixture,Injury,Barcelona,2022-09-10T16:30:00+00:00,La Liga
137,S. Roberto,Missing Fixture,Injury,Barcelona,2022-09-17T14:15:00+00:00,La Liga
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-01T19:00:00+00:00,La Liga
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-01T19:00:00+00:00,La Liga
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-01T19:00:00+00:00,La Liga
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-01T19:00:00+00:00,La Liga
538,F. de Jong,Missing Fixture,Thigh Injury,Barcelona,2022-10-01T19:00:00+00:00,La Liga
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-04T19:00:00+00:00,UEFA Champions League
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-04T19:00:00+00:00,UEFA Champions League
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-04T19:00:00+00:00,UEFA Champions League
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-04T19:00:00+00:00,UEFA Champions League
538,F. de Jong,Missing Fixture,Thigh Injury,Barcelona,2022-10-04T19:00:00+00:00,UEFA Champions League
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
1642,F. Kessie,Missing Fixture,Thigh Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-09T19:00:00+00:00,La Liga
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-12T19:00:00+00:00,UEFA Champions League
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-12T19:00:00+00:00,UEFA Champions League
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-12T19:00:00+00:00,UEFA Champions League
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-12T19:00:00+00:00,UEFA Champions League
1257,J. Kounde,Missing Fixture,Muscle Injury,Barcelona,2022-10-12T19:00:00+00:00,UEFA Champions League
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-16T14:15:00+00:00,La Liga
1439,H. Bellerin,Missing Fixture,Foot Injury,Barcelona,2022-10-16T14:15:00+00:00,La Liga
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-16T14:15:00+00:00,La Liga
667,M. Depay,Missing Fixture,Muscle Injury,Barcelona,2022-10-16T14:15:00+00:00,La Liga
101814,R. Araujo,Missing Fixture,Muscle Injury,Barcelona,2022-10-20T19:00:00+00:00,La Liga
2282,A. Christensen,Missing Fixture,Ankle Injury,Barcelona,2022-10-20T19:00:00+00:00,La Liga
